index,breed_primary,size
0,American Staffordshire Terrier,Medium
1,Pit Bull Terrier,Large
2,Shepherd,Large
3,German Shepherd Dog,Large
4,Dachshund,Small
5,Boxer,Medium
6,Italian Greyhound,Small
7,Cattle Dog,Medium
8,Cattle Dog,Medium
9,Cattle Dog,Medium
10,Cattle Dog,Medium
11,Italian Greyhound,Small
12,Cattle Dog,Medium
13,Border Collie,Medium
14,Pit Bull Terrier,Large
15,German Shepherd Dog,Extra Large
16,Schnauzer,Medium
17,Pit Bull Terrier,Large
18,Boxer,Large
19,Pit Bull Terrier,Medium
20,Pit Bull Terrier,Large
21,Pit Bull Terrier,Large
22,Dachshund,Small
23,Shepherd,Medium
24,Chihuahua,Medium
25,Cocker Spaniel,Medium
26,Chihuahua,Small
27,Chihuahua,Small
28,Chihuahua,Small
29,Cocker Spaniel,Medium
30,German Shepherd Dog,Large
31,Pit Bull Terrier,Large
32,Boxer,Large
33,Chihuahua,Small
34,Chihuahua,Small
35,Dachshund,Small
36,Chihuahua,Small
37,Pug,Medium
38,Terrier,Small
39,Labrador Retriever,Medium
40,German Shepherd Dog,Large
41,Pit Bull Terrier,Medium
42,Dachshund,Small
43,Pit Bull Terrier,Large
44,Pit Bull Terrier,Large
45,Pit Bull Terrier,Large
46,Pit Bull Terrier,Large
47,Pit Bull Terrier,Large
48,Australian Cattle Dog / Blue Heeler,Medium
49,Poodle,Small
50,Terrier,Small
51,American Bulldog,Large
52,Mastiff,Large
53,Chihuahua,Small
54,Labrador Retriever,Medium
55,Terrier,Small
56,Chihuahua,Small
57,Chihuahua,Small
58,Chihuahua,Small
59,Chihuahua,Small
60,Chihuahua,Small
61,Husky,Large
62,Pit Bull Terrier,Medium
63,Poodle,Small
64,Terrier,Small
65,Chihuahua,Small
66,Chihuahua,Small
67,Chihuahua,Small
68,Cocker Spaniel,Medium
69,Staffordshire Bull Terrier,Large
70,Poodle,Small
71,Chihuahua,Small
72,Jindo,Medium
73,Corgi,Small
74,Chihuahua,Small
75,American Bulldog,Large
76,German Shepherd Dog,Large
77,Pit Bull Terrier,Large
78,Shar-Pei,Large
79,Pit Bull Terrier,Large
80,Shar-Pei,Medium
81,Shepherd,Large
82,Shepherd,Medium
83,Hound,Medium
84,Jack Russell Terrier,Medium
85,Retriever,Medium
86,Hound,Medium
87,Pit Bull Terrier,Large
88,Pit Bull Terrier,Medium
89,Chihuahua,Small
90,Chihuahua,Small
91,Siberian Husky,Medium
92,Pit Bull Terrier,Large
93,Pit Bull Terrier,Large
94,American Bulldog,Large
95,Terrier,Small
96,Pit Bull Terrier,Large
97,Pit Bull Terrier,Large
98,Chihuahua,Small
99,Pit Bull Terrier,Medium
100,Maltese,Small
101,German Shepherd Dog,Large
102,Siberian Husky,Large
103,Maltese,Small
104,Maltese,Small
105,Maltese,Small
106,Chihuahua,Small
107,Terrier,Small
108,Pit Bull Terrier,Medium
109,Chihuahua,Small
110,Black Labrador Retriever,Large
111,Akita,Medium
112,Pit Bull Terrier,Medium
113,Pit Bull Terrier,Large
114,Pit Bull Terrier,Large
115,Chihuahua,Small
116,Terrier,Small
117,Schnauzer,Small
118,Pit Bull Terrier,Medium
119,Chihuahua,Small
120,Chow Chow,Medium
121,Chihuahua,Small
122,Chihuahua,Small
123,Akita,Large
124,Schnauzer,Medium
125,Pit Bull Terrier,Large
126,Pit Bull Terrier,Large
127,Redbone Coonhound,Large
128,Chihuahua,Small
129,Chihuahua,Small
130,Chihuahua,Small
131,Chihuahua,Small
132,Pit Bull Terrier,Large
133,Chihuahua,Small
134,Chihuahua,Small
135,Chihuahua,Small
136,Pit Bull Terrier,Large
137,Chihuahua,Small
138,Giant Schnauzer,Large
139,Terrier,Small
140,Labrador Retriever,Medium
141,Terrier,Small
142,Mastiff,Large
143,Pit Bull Terrier,Large
144,Labrador Retriever,Large
145,Redbone Coonhound,Large
146,Miniature Pinscher,Small
147,Boxer,Large
148,Bichon Frise,Small
149,Pit Bull Terrier,Large
150,Dachshund,Small
151,Chihuahua,Small
152,Miniature Pinscher,Small
153,Shepherd,Medium
154,Wirehaired Terrier,Small
155,Cattle Dog,Medium
156,Cattle Dog,Medium
157,Mastiff,Large
158,Corgi,Small
159,Chihuahua,Small
160,Chihuahua,Small
161,Belgian Shepherd / Malinois,Large
162,Pit Bull Terrier,Medium
163,Dachshund,Small
164,Chihuahua,Small
165,Dachshund,Small
166,Jack Russell Terrier,Small
167,Jack Russell Terrier,Small
168,Labrador Retriever,Medium
169,Shar-Pei,Large
170,German Shepherd Dog,Large
171,Labrador Retriever,Large
172,Dachshund,Small
173,Terrier,Small
174,Chihuahua,Small
175,Beagle,Medium
176,Pit Bull Terrier,Medium
177,Cane Corso,Large
178,Shepherd,Medium
179,Boxer,Medium
180,Saint Bernard,Large
181,Dogo Argentino,Large
182,Pit Bull Terrier,Medium
183,German Shepherd Dog,Large
184,German Shepherd Dog,Large
185,German Shepherd Dog,Large
186,German Shepherd Dog,Medium
187,German Shepherd Dog,Medium
188,Pit Bull Terrier,Large
189,Pit Bull Terrier,Medium
190,Catahoula Leopard Dog,Medium
191,Pit Bull Terrier,Large
192,Pit Bull Terrier,Medium
193,Catahoula Leopard Dog,Large
194,Chihuahua,Small
195,Chihuahua,Small
196,Pit Bull Terrier,Large
197,Doberman Pinscher,Large
198,Doberman Pinscher,Medium
199,Doberman Pinscher,Large
200,Chihuahua,Small
201,Chihuahua,Small
202,Chihuahua,Small
203,Terrier,Small
204,Terrier,Small
205,Chihuahua,Small
206,Chihuahua,Small
207,Chihuahua,Small
208,Maltese,Small
209,Chihuahua,Small
210,Chihuahua,Small
211,Chihuahua,Small
212,Chihuahua,Small
213,Jack Russell Terrier,Small
214,Chihuahua,Small
215,Yorkshire Terrier,Small
216,Pomeranian,Small
217,Shepherd,Large
218,Collie,Large
219,Collie,Large
220,Collie,Large
221,Collie,Large
222,Collie,Large
223,Collie,Large
224,Collie,Large
225,Collie,Large
226,Collie,Large
227,Collie,Large
228,Chihuahua,Small
229,Pit Bull Terrier,Large
230,Pit Bull Terrier,Large
231,Shepherd,Medium
232,Shar-Pei,Medium
233,Pit Bull Terrier,Large
234,Rat Terrier,Medium
235,Pit Bull Terrier,Medium
236,Australian Shepherd,Medium
237,Jack Russell Terrier,Small
238,Irish Terrier,Small
239,Yorkshire Terrier,Small
240,Cairn Terrier,Small
241,Australian Cattle Dog / Blue Heeler,Large
242,Pit Bull Terrier,Large
243,American Staffordshire Terrier,Medium
244,Pit Bull Terrier,Large
245,Shih Tzu,Small
246,Shih Tzu,Small
247,Pit Bull Terrier,Large
248,Pit Bull Terrier,Medium
249,Pit Bull Terrier,Large
250,Pit Bull Terrier,Medium
251,German Shepherd Dog,Medium
252,Pomeranian,Small
253,Terrier,Small
254,American Staffordshire Terrier,Medium
255,Pit Bull Terrier,Large
256,Pit Bull Terrier,Large
257,Pomeranian,Medium
258,Lhasa Apso,Small
259,Chihuahua,Small
260,Pit Bull Terrier,Large
261,American Bulldog,Large
262,Mastiff,Large
263,American Bulldog,Large
264,American Bulldog,Medium
265,Labrador Retriever,Large
266,Pit Bull Terrier,Large
267,Pit Bull Terrier,Medium
268,German Shepherd Dog,Medium
269,Pit Bull Terrier,Large
270,Beagle,Medium
271,German Shepherd Dog,Large
272,Chihuahua,Small
273,Pit Bull Terrier,Large
274,Cattle Dog,Medium
275,Chihuahua,Small
276,Australian Shepherd,Medium
277,Boxer,Large
278,Mixed Breed,Medium
279,Shar-Pei,Large
280,Mastiff,Large
281,Husky,Large
282,Cattle Dog,Medium
283,Chihuahua,Small
284,Chihuahua,Small
285,Australian Shepherd,Medium
286,Chihuahua,Small
287,Labrador Retriever,Medium
288,Boxer,Large
289,Brittany Spaniel,Medium
290,Pit Bull Terrier,Large
291,Pit Bull Terrier,Medium
292,Pit Bull Terrier,Large
293,Retriever,Medium
294,Shepherd,Medium
295,Saint Bernard,Large
296,Labrador Retriever,Large
297,English Bulldog,Medium
298,Akita,Large
299,Pit Bull Terrier,Large
300,Coonhound,Large
301,Chihuahua,Small
302,Cocker Spaniel,Small
303,Chihuahua,Small
304,Saint Bernard,Medium
305,Labrador Retriever,Medium
306,Pit Bull Terrier,Large
307,Terrier,Medium
308,Pit Bull Terrier,Large
309,Terrier,Medium
310,Rat Terrier,Small
311,Great Dane,Large
312,Australian Shepherd,Medium
313,Terrier,Medium
314,Pit Bull Terrier,Medium
315,Labrador Retriever,Medium
316,Labrador Retriever,Large
317,Labrador Retriever,Medium
318,Border Collie,Medium
319,Chihuahua,Small
320,German Shepherd Dog,Large
321,Chihuahua,Small
322,Cairn Terrier,Small
323,Siberian Husky,Large
324,German Shepherd Dog,Large
325,Jack Russell Terrier,Small
326,Miniature Pinscher,Small
327,Miniature Pinscher,Small
328,Pit Bull Terrier,Medium
329,Chihuahua,Small
330,German Shepherd Dog,Medium
331,Pit Bull Terrier,Large
332,Chihuahua,Small
333,Italian Greyhound,Small
334,Pit Bull Terrier,Medium
335,Terrier,Small
336,Pit Bull Terrier,Large
337,Pit Bull Terrier,Medium
338,German Shepherd Dog,Large
339,Pointer,Medium
340,Mixed Breed,Large
341,Shar-Pei,Medium
342,Shepherd,Medium
343,Chihuahua,Small
344,Dachshund,Small
345,Pointer,Large
346,Mixed Breed,Small
347,Poodle,Small
348,Yorkshire Terrier,Small
349,Pit Bull Terrier,Large
350,Pit Bull Terrier,Medium
351,Chihuahua,Small
352,Husky,Large
353,American Staffordshire Terrier,Medium
354,American Staffordshire Terrier,Medium
355,American Staffordshire Terrier,Medium
356,Pit Bull Terrier,Medium
357,Pit Bull Terrier,Large
358,Pit Bull Terrier,Large
359,Pit Bull Terrier,Medium
360,Beagle,Small
361,German Shepherd Dog,Extra Large
362,Labrador Retriever,Large
363,Beagle,Medium
364,Pit Bull Terrier,Extra Large
365,Boxer,Large
366,Pit Bull Terrier,Medium
367,Mixed Breed,Medium
368,American Bulldog,Large
369,Chihuahua,Small
370,Labrador Retriever,Large
371,Boxer,Medium
372,English Bulldog,Medium
373,Husky,Medium
374,Cairn Terrier,Small
375,German Shepherd Dog,Large
376,Chihuahua,Small
377,Pug,Small
378,Chihuahua,Small
379,Terrier,Small
380,Chihuahua,Small
381,Retriever,Medium
382,Staffordshire Bull Terrier,Large
383,Terrier,Small
384,Rat Terrier,Small
385,Dachshund,Medium
386,Chihuahua,Small
387,Chihuahua,Small
388,Chihuahua,Small
389,Treeing Walker Coonhound,Large
390,Dachshund,Small
391,Xoloitzcuintli / Mexican Hairless,Small
392,Chihuahua,Small
393,Miniature Pinscher,Small
394,Pit Bull Terrier,Large
395,Pit Bull Terrier,Medium
396,Pit Bull Terrier,Large
397,Pit Bull Terrier,Large
398,Pit Bull Terrier,Large
399,Pit Bull Terrier,Large
400,Pit Bull Terrier,Large
401,Saint Bernard,Extra Large
402,Chihuahua,Small
403,Labrador Retriever,Large
404,Chihuahua,Small
405,Beagle,Medium
406,Australian Shepherd,Medium
407,Rottweiler,Large
408,Rottweiler,Large
409,Hound,Large
410,Dachshund,Small
411,English Springer Spaniel,Medium
412,Cattle Dog,Medium
413,Beagle,Medium
414,Chihuahua,Small
415,Japanese Chin,Small
416,Beagle,Medium
417,Whippet,Medium
418,Miniature Pinscher,Small
419,Beagle,Small
420,Pit Bull Terrier,Large
421,Chihuahua,Small
422,Chihuahua,Small
423,Labrador Retriever,Medium
424,Saint Bernard,Large
425,Pit Bull Terrier,Medium
426,Shepherd,Medium
427,American Bulldog,Large
428,Beagle,Medium
429,Chihuahua,Small
430,Dogo Argentino,Large
431,German Shepherd Dog,Large
432,Yorkshire Terrier,Small
433,Beagle,Medium
434,Terrier,Small
435,Pit Bull Terrier,Large
436,Pit Bull Terrier,Large
437,German Shepherd Dog,Large
438,Doberman Pinscher,Large
439,Terrier,Small
440,Pit Bull Terrier,Medium
441,Mixed Breed,Small
442,Catahoula Leopard Dog,Large
443,Hound,Medium
444,Pit Bull Terrier,Medium
445,Foxhound,Large
446,English Springer Spaniel,Medium
447,Boxer,Large
448,Chihuahua,Small
449,Mixed Breed,Small
450,Pit Bull Terrier,Large
451,Chihuahua,Small
452,Staffordshire Bull Terrier,Medium
453,Labrador Retriever,Medium
454,Pit Bull Terrier,Medium
455,Pit Bull Terrier,Medium
456,Chihuahua,Small
457,Border Collie,Medium
458,Rottweiler,Medium
459,Chihuahua,Small
460,Chihuahua,Small
461,Mastiff,Large
462,Labrador Retriever,Medium
463,Boxer,Medium
464,German Shepherd Dog,Large
465,German Shepherd Dog,Large
466,Chihuahua,Small
467,Shepherd,Large
468,Labrador Retriever,Large
469,Chihuahua,Medium
470,Pit Bull Terrier,Large
471,Labrador Retriever,Large
472,Labrador Retriever,Large
473,Chihuahua,Small
474,Pit Bull Terrier,Medium
475,Chihuahua,Medium
476,Chihuahua,Small
477,Chihuahua,Small
478,Labrador Retriever,Medium
479,Chow Chow,Large
480,American Bulldog,Large
481,American Bulldog,Large
482,Hound,Large
483,Shepherd,Large
484,Labrador Retriever,Large
485,Hound,Large
486,Labrador Retriever,Large
487,Pit Bull Terrier,Medium
488,Boxer,Medium
489,Doberman Pinscher,Large
490,French Bulldog,Medium
491,Dachshund,Small
492,Chihuahua,Small
493,Dachshund,Small
494,Boxer,Large
495,Shar-Pei,Medium
496,Chihuahua,Small
497,Chihuahua,Small
498,Maltese,Small
499,Pit Bull Terrier,Large
500,English Springer Spaniel,Medium
501,Hound,Medium
502,Labrador Retriever,Medium
503,Pit Bull Terrier,Large
504,Beagle,Medium
505,Standard Poodle,Large
506,Chihuahua,Small
507,Shepherd,Medium
508,Yorkshire Terrier,Small
509,Chihuahua,Small
510,Terrier,Small
511,Labrador Retriever,Medium
512,Black Labrador Retriever,Medium
513,American Bulldog,Large
514,Pit Bull Terrier,Medium
515,Cattle Dog,Medium
516,German Shepherd Dog,Large
517,Chihuahua,Small
